inn,name_of_company,IT_accreditation
5262128494,,False
6154064277,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРАММНЫЕ ТЕХНОЛОГИИ""",True
7717129716,Общество с ограниченной ответственностью «Лестэр Информационные Технологии»,True
5024013262,Закрытое акционерное общество «Научно - производственное предприятие «Логус»,True
2724093028,,False
7728617169,,False
7710625200,,False
7726074870,,False
7819035190,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАНИТ-ТЕРКОМ""",True
6904008332,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""ЦЕНТРПРОГРАММСИСТЕМ""",True
7704014274,,False
7106008891,,False
7714102360,Акционерное общество «НПО Опыт»,True
7735047640,,False
7733284010,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВНЫЙ НАУЧНЫЙ ИННОВАЦИОННЫЙ ВНЕДРЕНЧЕСКИЙ ЦЕНТР""",True
7702270040,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРС - ЦЕНТР РАЗРАБОТКИ""",True
7724244406,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АСТ""",True
7743028263,Акционерное общество «Электронный архив»,True
7702651292,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕЙФЛАЙН""",True
5408100040,,False
7448055870,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИКЛАДНЫЕ ТЕХНОЛОГИИ""",True
1655104877,,False
3666005367,,False
1831090125,,False
1831101514,,False
1831088951,,False
1831053525,,False
7715532020,Общество с ограниченной ответственностью «Акронис»,True
7715635428,,False
6630008578,Общество с ограниченной ответственностью «АСС-Бизнес Софт»,True
2466137886,Акционерное общество «КрасИнформ»,True
1833040909,,False
7721837782,Общество с ограниченной ответственностью «Центр аналитических исследований»,True
1001195548,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПЛЕКСНЫЕ МЕДИЦИНСКИЕ ИНФОРМАЦИОННЫЕ СИСТЕМЫ""",True
6950052287,,False
5020034631,,False
7804361480,,False
7606049840,"АКЦИОНЕРНОЕ ОБЩЕСТВО НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""СЕНСОР""",True
7715085365,,False
7729498813,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""ВОСХОД""",True
7841011317,Общество с ограниченной ответственностью «Санкт-Петербургский Центр Разработок ЕМС»,True
7721163646,,False
1835051712,,False
7803009412,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИДЖИТАЛ ДИЗАЙН""",True
7801144409,,False
7728644910,Общество с ограниченной ответственностью «СиБОСС девелопмент интернейшнл»,True
7702037244,,False
5408106323,,False
7719165935,Акционерное общество «Аладдин Р.Д.»,True
276048306,,False
2508007602,,False
4345070800,,False
7713511177,,False
7106502733,Общество с ограниченной ответственностью «Девелопер Софт»,True
5405284960,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГЕТИКА  МИКРОЭЛЕКТРОНИКА  АВТОМАТИКА""",True
7826054115,Общество с ограниченной ответственностью «ИКС-АРТ»,True
7703544310,,False
7733538466,,False
2540085820,Закрытое акционерное общество «Научно-техническая лаборатория «НЭКСТ ТЕХНИКА»,True
7811117852,Общество с ограниченной ответственностью «ИнтеллиДжей Лабс»,True
7719026829,,False
7709730842,Общество с ограниченной ответственностью «Система Модульных Технологий - ИСС»,True
7704168595,,False
7704165410,,False
7810207359,ОАкционерное общество «Региональный информационно-вычислительный центр «Пулково»,True
7810904409,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОМПЬЮТЕРНЫЕ СИСТЕМЫ ДЛЯ БИЗНЕСА""",True
6671116364,Акционерное общество «Нау-сервис»,True
7708215045,Общество с ограниченной ответственностью «АНТОР БИЗНЕС РЕШЕНИЯ»,True
7718158036,,False
7743555206,,False
7704198800,Общество с ограниченной ответственностью «КВАРТА ВК»,True
1655045406,Закрытое акционерное общество «ТаксНет»,True
7801230827,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭМЕРДЖН""",True
7734004266,,False
7704061940,,False
7802144867,Общество с ограниченной ответственностью «Рексофт.РУ»,True
7802020639,Общество с ограниченной ответственностью «Рексофт»,True
7705633622,Общество с ограниченной ответственностью «КВАРТА»,True
4025022003,,False
7726240460,,False
7718582710,Общество с ограниченной ответственностью «Научно-инновационный центр информационных технологий»,True
5406309261,,False
2540044905,Общество с ограниченной ответственностью «Ронда Лимитед»,True
7714303606,Общество с ограниченной ответственностью «ЛЕТА Программное Обеспечение»,True
7713605227,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИБС ИНФИНИСОФТ""",True
5405262927,,False
6670020959,"Общество с ограниченной ответственностью ""КАЕ Эксперт""",True
7707620040,,False
7715216804,Общество с ограниченной ответственностью «Инлайн технолоджис»,True
7710397378,,False
3435074236,Общество с ограниченной ответственностью Научно-производственный центр «АИР»,True
7719232155,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭПАМ СИСТЭМЗ""",True
7733618489,,False
7734530163,,False
7734553643,,False
7729099590,,False
7825679650,Общество с ограниченной ответственностью «СТМ»,True
1660014361,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙСИЭЛ-КПО ВС""",True
7448079341,,False
7107100610,Общество с ограниченной ответственностью «Автоматизированное обеспечение качества»,True
1831076586,,False
6315555575,Общество с ограниченной ответственностью «Научно-производственная компания «Маджента Девелопмент»,True
7704244863,,False
7802338686,,False
3426010934,,False
7703014828,Общество с ограниченной ответственностью «Научно-технический центр «КомпАС»,True
7806011836,,False
7719198440,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЭР-СТАЙЛ СОФТЛАБ""",True
7713316391,,False
7325068438,,False
7717561161,,False
7814310710,Общество с ограниченной ответственностью «Октавиан Гейм Арт»,True
7733105141,Общество с ограниченной ответственностью «Артезио»,True
7706544541,,False
7743666770,,False
6658191193,,False
7704569205,Общество с ограниченной ответственностью «Информационные системы «Э-Куб»,True
7710327300,,False
7813189108,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКСПЕРТ-СИСТЕМА""",True
